id,unique_id,raceid,racetype,racetypeid,ballotorder,candidateid,description,delegatecount,electiondate,fipscode,first,incumbent,initialization_data,is_ballot_measure,last,lastupdated,level,national,officeid,officename,party,polid,polnum,precinctsreporting,precinctsreportingpct,precinctstotal,reportingunitid,reportingunitname,runoff,seatname,seatnum,statename,statepostal,test,uncontested,votecount,votepct,winner
12059-polnum-14435-state-1,polnum-14435,12059,Primary,R,2,20480,,0,2016-05-24,,Tim,True,False,False,Echols,2016-05-18T16:54:15Z,state,True,0,PSC,GOP,,14435,2135,79.6,2682,state-1,,False,District 2,2,Georgia,GA,True,False,438182,0.458474,False
12059-polnum-15143-state-1,polnum-15143,12059,Primary,R,3,20478,,0,2016-05-24,,Michelle,False,False,False,Miller,2016-05-18T16:54:15Z,state,True,0,PSC,GOP,,15143,2135,79.6,2682,state-1,,False,District 2,2,Georgia,GA,True,False,375358,0.392741,False
12059-polnum-15142-state-1,polnum-15142,12059,Primary,R,1,20479,,0,2016-05-24,,Kellie,False,False,False,Austin,2016-05-18T16:54:15Z,state,True,0,PSC,GOP,,15142,2135,79.6,2682,state-1,,False,District 2,2,Georgia,GA,True,False,142200,0.148785,False
12059-polnum-14435-county-11001,polnum-14435,12059,Primary,R,2,20480,,0,2016-05-24,13001,Tim,True,False,False,Echols,2016-05-18T16:34:51Z,county,True,0,PSC,GOP,,14435,14,100.0,14,county-11001,Appling,False,District 2,2,Georgia,GA,True,False,1341,0.619114,False
12059-polnum-15143-county-11001,polnum-15143,12059,Primary,R,3,20478,,0,2016-05-24,13001,Michelle,False,False,False,Miller,2016-05-18T16:34:51Z,county,True,0,PSC,GOP,,15143,14,100.0,14,county-11001,Appling,False,District 2,2,Georgia,GA,True,False,460,0.212373,False
12059-polnum-15142-county-11001,polnum-15142,12059,Primary,R,1,20479,,0,2016-05-24,13001,Kellie,False,False,False,Austin,2016-05-18T16:34:51Z,county,True,0,PSC,GOP,,15142,14,100.0,14,county-11001,Appling,False,District 2,2,Georgia,GA,True,False,365,0.168513,False
12059-polnum-14435-county-11002,polnum-14435,12059,Primary,R,2,20480,,0,2016-05-24,13003,Tim,True,False,False,Echols,2016-05-18T16:44:13Z,county,True,0,PSC,GOP,,14435,4,100.0,4,county-11002,Atkinson,False,District 2,2,Georgia,GA,True,False,530,0.596847,False
12059-polnum-15143-county-11002,polnum-15143,12059,Primary,R,3,20478,,0,2016-05-24,13003,Michelle,False,False,False,Miller,2016-05-18T16:44:13Z,county,True,0,PSC,GOP,,15143,4,100.0,4,county-11002,Atkinson,False,District 2,2,Georgia,GA,True,False,260,0.292793,False
12059-polnum-15142-county-11002,polnum-15142,12059,Primary,R,1,20479,,0,2016-05-24,13003,Kellie,False,False,False,Austin,2016-05-18T16:44:13Z,county,True,0,PSC,GOP,,15142,4,100.0,4,county-11002,Atkinson,False,District 2,2,Georgia,GA,True,False,98,0.11036,False
12059-polnum-15143-county-11003,polnum-15143,12059,Primary,R,3,20478,,0,2016-05-24,13005,Michelle,False,False,False,Miller,2016-05-18T16:37:58Z,county,True,0,PSC,GOP,,15143,5,100.0,5,county-11003,Bacon,False,District 2,2,Georgia,GA,True,False,579,0.466184,False
